theme,text,rating
про судей,"На суде в Стамбуле обвиняемый сказал:
- На свои жертвы я нападал всегда днем. Ночью я бы побоялся
ходить с награбленными деньгами...

",5
про судей,"- Вы продолжаете утверждать, что обвиняемый назвал вас
дураком?
- Да, гражданин судья. Правда, он это сказал не прямо, а
иносказательно. Он сказал: ""Что касается интеллекта, то мы
с вами на одном уровне"".

",4
про судей,"На суде.
- Итак, когда дело дошло до столкновения, у вашего
противника в руках была палка. А что было у вас в руках?
- Его жена.

",0
про судей,"Старую леди сбил автомобиль. На суде ее спрашивают, как было
дело. Она:
- Из-за угла вывернул автомобиль. Я влево, и он влево; я
вправо - и он вправо. Тут водитель кричит: ""Да стой ты на
месте, черт подери!""
- Я остановилась, тут он на меня и наехал.

",4
про судей,"Судья говорит:
- Согласно вашей жалобе, обвиняемый сказал, что вы дурак. чистая правда?
- Чистая правда.
- Тогда на что же вы жалуетесь?

",2
про судей,"На судебном заседании.
- Гражданка Дроздова, мы рассматриваем ваш иск к гражданину
Березкину.
Говорите суду всю правду, только правду, - предупреждает судья.
- Это в моих интересах, гражданин судья, клянусь.
- Когда был этот случай изнасилования?
- Этот? Он был все лето!

",3
про судей,"- Драка происходила так. Одной рукой я схватил его за ворот,
другой за грудь... и раз, раз...
- Как же вы его били, если держали обеими руками?
- А бил он.

",-3
про судей,"Судья:
- Свидетель, вы должны говорить правду, одну только правду и
ничего кроме правды.
- Да, господин судья.
- Что в таком случае вы можете сказать по обсуждаемому делу?
- А что можно сказать при таких ограничениях?

",2
про судей,"Судья подсудимому:
- Ну-ну, перестаньте волноваться и расскажите, как это
произошло.
- Я ужасно расстроен. А было так. Я сидел и чистил ножичком
апельсин. Тут подошел этот тип, поскользнулся на
апельсиновой корке и упал прямо на нож.
Судья:
- И так три раза подряд?

",-2
про судей,"Судья спрашивает четырех индейцев, убежавших из тюрьмы:
- Скажите, почему вы убежали?
- Сидим мы в тюрьме день, второй, третий. На четвертый день
индеец ""Острый глаз"" заметил, что одной стены нет.

",4
про судей,"Судья:
- Свидетель, вы женаты?
Обвиняемый:
- Нет, ваша честь, просто я так выгляжу...

",2
про судей,"- Вы обвиняетесь в том, - говорит  судья, - что  ударили
свою жену тарелкой по голове. Неужели вам ее не жалко?
- Как не жалко! Тарелка была совсем новая.

",1
про судей,"- Свидетель! - говорит судья. Я прошу вас на минуту забыть,
что вы работаете в Госкомстате, и говорить суду только
правду.

",0
про судей,"Судья:
- Ваша жена утверждает, что вы ее держите в постоянном
страхе.
Обвиняемый:
- Но, ваша честь...
Судья (шепотом):
- Скажите, неофициально, как мужчина мужчине, как это
удается?!

",-1
про судей,"Судья:
- Вы совершили восемь ограблений за одну неделю. Разве возможно?
Подсудимый:
- Работал день и ночь, ваша честь. Если бы все трудились
так, как я, наша страна давно уже вышла бы на путь
процветания.

",3
про судей,"Судья:
- Подсудимый, ваши три последних желания.
- Любые?
- Да!
Подсудимый:
- Пулемет, патроны, и держитесь, гады!

",3
про судей,"Судья:
- Эту кражу вы совершили сами?
Обвиняемый:
- Да, ваша честь. Мы переживаем сейчас плохие времена -
никому нельзя доверять.

",3
про судей,"- Гражданка Петрова, - говорит судья, - почему вы ударили
мужа утюгом по голове?
- Я ему сто раз говорила, что у меня покладистый характер,
а он не верил...

",-2
про судей,"Фриц Дитрих! Вы обвиняетесь в том, что во время атаки
русских побежали на Запад...
- Господи боже, герб судья! Так ведь я догонял
оберлейтенанта фон  Граббе, чтобы ему сказать: солдаты
разбегаются...

",1
про судей,"- Вы приговариваетесь к штрафу в пятьсот рублей. Надеюсь,
это отучит вас обкрадывать телефоны - автоматы.
- Понятно, гражданин судья. Скажите, а можно уплатить штраф
двухкопеечными монетами?

",3
про судей,"- Подсудимый, вы признаете, что пять раз подряд обокрали
промтоварный магазин номер двенадцать?
- Признаю.
- Почему вы постоянно забираетесь именно в этот магазин?
- Дело в том, гражданин судья, что у меня слабое сердце, а
этот магазин находится поблизости от автобусной остановки.

",-2
про судей,"Судья обращается к подсудимому:
- Почему вы три раза подряд ограбили один и тот же магазин?
- Дело в  том, господин  судья, что  в  первый  раз я взял
там, платье для жены, но вы же знаете, господин судья,
женские капризы, потом два раза приходил его менять.

",6
про судей,"Судья сообщает подсудимому, что он оправдан.
- Что это значит?
- Это означает, что вы свободны, поскольку не доказано, что
вы ограбили банк.
- Слава богу! Значит, все деньги я могу оставить у себя?

",5
про судей,"Судья:
- Что побудило вас ударить жену?
Подсудимый:
- Судите сами, ваша честь, она стояла ко мне спиной, под
рукой у меня была сковородка, а дверь позади меня была
открыта. Ну как было не воспользоваться таким благоприятным
стечением обстоятельств?

",0
про судей,"- Может быть, обвиняемый назвал вас ослом в приступе
внезапного гнева?
- О, нет! Перед этим он долго и внимательно разглядывал меня.

",3
про судей,"Рассматривается дело о наезде.
- Гражданин судья, перед тем, как начать, я хоту дать
отвод прокурору в связи с его особой заинтересованностью.
Я его переехал в прошлый раз.

",2
про судей,"Трое мужиков пришибли четвертого... Идет суд...
- Ты чем бил?
- Кулаками...
- А ты?
- Ногами...
- А ты чем...
- Пепельницей...
- Чем? Ты где ее взял?
- У магазина стояла...

",1
про сисадминов,"Из дневника админа: Перечитывал логи много думал...

",12
про сисадминов,"Классификация водки в стиле IT:
0.1л - demo.
0.25л - trial version.
0.5л - personal edition.
0.7л - professional edition.
1.0л - network edition.
1.75л - enterprise.
3л - for small business.
5л - corporate edition.
Бутыль самогона - home edition.
На посошок - Service pack.
Рассол с утра - Recovery tool.
Закуска - plugins.
Пиво - patch.
coca-cola fanta 7-UP - trojan viruses.

",83
про сисадминов,"Звонок на радио:
Поставьте пожалуйста песню Пугачевой про то как у нее завис Windows!
ди-джей (после паузы):
Я не могу вспомнить у Пугачевой такой песни!
Можете напеть?
ну там еще в припеве: Кликну а в ответ тишина снова я осталась одна  Сильная женщина плачет у Окна

",34
про сисадминов,"Cо слов менеджера:
не включается компьютер - зову админа. Админ приходит воздевает руки к небу бормочет про себя невнятные слова поворачивает мой стул 10 раз вокруг свой оси пинает компьютер - тот начинает работать. Вновь воздевает руки к небу что-то бормочет уходит
Со слов админа:
прихожу к юзеру - этот дурак так вертелся на стуле что у него шнур питания на ножку намотался. Матерюсь про себя распутываю запихиваю комп ногой подальше по стол включаю ухожу

",148
про сисадминов,"Что такое групповое изнасилование по телефону?
Это когда 150 пользователей звонят сисадмину что у них пропал интернет.

",70
про сисадминов,"ЛИЦЕНЗИОННОЕ СОГЛАШЕНИЕ:
Я устанавливаю нелегальную копию и мне наплевать на всякие там лицензии. Будут деньги - куплю официальную а пока поработаю и с этой. На техническую поддержку и прочие прелести цивилизации не претендую.

",10
про сисадминов,"Амеpиканские пpогpаммисты очень долго не могли понять почемy их pyсские коллеги пpи зависании Windows всё вpемя повтоpяют фpазy твой кpолик написал (Your Bunny Wrote) (пpим.: английский ваpиант следyет пpочитать быстpо).

",49
про сисадминов,"На днях произошел случай аналогичный хрен знает когда и где прочитанному.
Звонит девушка:
- Я дома на клавиатуру кофе пролила. Что делать?
Отвечаю:
- Сполосни под краном и денек посуши.
Трубку положил а сам думаю:
Лишь бы не как в том случае.
Через день звонок та же девушка:
- Не работает мол...
Я говорю:
- Ну приноси...
А сам опять думаю:
Лишь бы не как в том случае. Приносит ну точно бл& - ноутбук!!!

",90
про сисадминов,"Текст. Письмо:
Здpавствyйте yважаемый господин пpовайдеp! Пишет Вам Ваш пользователь. Помогите мне пожалyйста.
У меня сегодня сломался Интеpнет. Еще вчеpа он pаботал а сегодня я попытался откpыть Яндекс а мне монитоp написал что не может отобpазить стpаницy.
Мой пpиятель компьютеpщик сказал что это может быть из-за того что сломался Интеpнет.
Почините его пожалyйста или дайте мне пока дpyгой Интеpнет потомy что мне очень надо откpыть Яндекс там вчеpа была написана ссылка на важнyю для меня инфоpмацию а сегодня даже пинги на Яндекс не идyт а по тpасеpт-y видно что пpомежyточный сеpвак в даyне но делайте что хотите:
меняйте таблицy маpшpyтизации DNS-сеpваки меня не волнyет как вы бyдете это обходить но то что весь ваш тpафик идет чеpез меpтвый сеpвак меня не колышет я вам не за то бабки плачy.

",30
про сисадминов,"Звонят на нашу службу тех.поддержки клиенты из войсковой части хотят получить консультацию по программе:
- У нас ваша пpогpамма не запускается.
- А вы в Dos pаботаете или в Windows?
- В Windows.
- Тогда закpойте лишние окна.
Слышна гpомкая команда:
- Закpыть все окна!!!

",31
